hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
198,802,798,19.8,80.2,1000,7,600,Random,uniforme
202,798,794,20.2,79.8,1000,8,700,Random,uniforme
206,794,790,20.6,79.4,1000,9,800,Random,uniforme
224,776,772,22.4,77.6,1000,10,900,Random,uniforme
849,151,147,84.9,15.1,1000,1,0,Random,exponencial
818,182,178,81.8,18.2,1000,2,100,Random,exponencial
852,148,144,85.2,14.8,1000,3,200,Random,exponencial
847,153,149,84.7,15.3,1000,4,300,Random,exponencial
821,179,175,82.1,17.9,1000,5,400,Random,exponencial
831,169,165,83.1,16.9,1000,6,500,Random,exponencial
838,162,158,83.8,16.2,1000,7,600,Random,exponencial
836,164,160,83.6,16.4,1000,8,700,Random,exponencial
845,155,151,84.5,15.5,1000,9,800,Random,exponencial
858,142,138,85.8,14.2,1000,10,900,Random,exponencial
